Date,Time,Sets,Arrows,Distance,Total Points
02-21,12:00,6,4,50.0,42
02-22,12:00,6,4,50.0,44
23,12:00,6,4,50.0,47
02-24,12:00,6,4,50.0,38
02-25,12:00,6,4,50.0,36
03-02,12:00,6,4,60.0,28
03-03,12:00,6,4,60.0,35
03-04,12:00,6,4,60.0,30
03-05,12:00,6,4,60.0,34
03-07,12:00,6,4,60.0,31
03-09,12:00,6,4,70.0,28
03-10,12:00,6,4,70.0,28
03-11,12:00,6,4,70.0,27
03-18,12:00,6,4,70.0,23
03-19,12:00,6,4,70.0,25
03-21,12:00,6,4,30.0,49
03-23,12:00,6,4,30.0,48
03-26,12:00,6,4,30.0,54
03-27,12:00,6,4,30.0,55
03-28,12:00,6,4,30.0,58
03-31,12:00,6,4,40.0,37
04-04,12:00,6,4,40.0,45
04-05,12:00,6,4,40.0,45
04-06,12:00,6,4,40.0,37
04-07,12:00,6,4,40.0,39
04-10,12:00,6,4,40.0,45
04-11,12:00,6,4,50.0,40
04-13,12:00,6,4,50.0,44
04-14,12:00,6,4,50.0,46
04-15,12:00,6,4,50.0,48
